date,county,state,fips,cases,deaths,daily_cases,daily_deaths,day_of_week,is_weekend,,,,,,,,
30/09/2021,burke,north carolina,37023,14805,200,81,1,3,0,,,,,,,,
3/12/2021,bolivar,mississippi,28011,6468,151,0,0,4,0,,,,,,,,
28/05/2021,benton,tennessee,47005,1679,41,0,0,4,0,,,,,,,,
10/08/2021,waupaca,wisconsin,55135,6263,167,20,0,1,0,,,,,,,,
2/09/2021,rockdale,georgia,13247,9851,193,35,0,3,0,,,,,,,,
19/01/2021,kittitas,washington,53037,1976,30,23,0,1,0,,,,,,,,
26/03/2021,elmore,idaho,16039,1741,13,6,0,4,0,,,,,,,,
3/05/2021,sumner,kansas,20191,2163,51,5,0,0,0,,,,,,,,
28/04/2021,pine,minnesota,27115,3190,21,7,0,2,0,,,,,,,,
12/10/2021,hawkins,tennessee,47073,9985,163,20,0,1,0,,,,,,,,
4/06/2021,russell,virginia,51167,2295,39,0,0,4,0,,,,,,,,
8/06/2021,hidalgo,new mexico,35023,364,9,0,0,1,0,,,,,,,,
9/05/2021,hamilton,tennessee,47065,44538,494,37,0,6,1,,,,,,,,
22/12/2021,rock,minnesota,27133,1831,32,4,0,2,0,,,,,,,,
10/09/2021,baltimore,maryland,24005,71032,1738,155,5,4,0,,,,,,,,
28/06/2021,peach,georgia,13225,2723,70,1,0,0,0,,,,,,,,
26/11/2021,eastland,texas,48133,2205,82,0,0,4,0,,,,,,,,
12/01/2021,taylor,wisconsin,55119,1857,19,7,0,1,0,,,,,,,,
16/02/2021,washington,maryland,24043,12103,245,14,2,1,0,,,,,,,,
1/07/2021,polk,texas,48373,3417,120,0,0,3,0,,,,,,,,
5/10/2021,oregon,missouri,29149,1307,10,1,0,1,0,,,,,,,,
10/11/2021,montgomery,arkansas,5097,1141,46,1,0,2,0,,,,,,,,
27/12/2021,carroll,maryland,24013,13011,297,0,0,0,0,,,,,,,,
20/12/2021,chattooga,georgia,13055,4802,108,19,0,0,0,,,,,,,,
2/06/2021,yadkin,north carolina,37197,4109,51,2,0,2,0,,,,,,,,
29/05/2021,lee,mississippi,28081,10017,175,0,0,5,1,,,,,,,,
21/05/2021,burleigh,north dakota,38015,15835,192,8,0,4,0,,,,,,,,
